Ticker,Name,Exchange
DSKA,Duska Therapeutics Inc,
DSKX,DS Healthcare Group Inc,NASDAQ
DSL,Downey Financial Corp,NYSE
DSL,Doubleline Income Solutions Fund,NYSE
DSM,Dreyfus Strategic Municipal Bond Fund Inc,NYSE
DSNS,JD International LTD,
DSNY,Destiny Media Technologies Inc,OTC
DSP,SP Acquisition Holdings Inc,NYSE MKT
DSPG,DSP Group Inc,NASDAQ
DSRM,Desert Mining Inc,
DST,DST Systems Inc,NYSE
DSTI,Daystar Technologies Inc,OTC
DSTM,Datastream Systems Inc,
DSTR,Dualstar Technologies Corp,OTC
DSU,Blackrock Debt Strategies Fund Inc,NYSE
DSUP,Dayton Superior Corp,NASDAQ
DSW,DSW Inc,NYSE
DTAS,Digitas Inc,OTC
DTCT,Diatect International Corp,
DTE,Dte Energy Co,NYSE
DTF,Prudential Pacific Growth Fund Inc,NYSE
DTF,DTF Tax-free Income Inc,NYSE
DTG,Dollar Thrifty Automotive Group Inc,NYSE
DTHK,Digitalthink Inc,
DTII,DT Industries Inc,
DTLA,Brookfield Dtla Fund Office Trust Investor Inc,NYSE
DTLI,DTLL Inc,
DTLK,Datalink Corp,NASDAQ
DTMI,Vocalscape Networks Inc,
DTOR,Del Toro Silver Corp,OTC
DTPI,Diamond Management & Technology Consultants Inc,
DTRC,Dakota Territory Resource Corp,OTC
DTSI,DTS Inc,NASDAQ
DTST,Data Storage Consulting Services Inc,OTCBB
DTST,Data Storage Corp,OTCBB
DTV,Directv Group Inc,NASDAQ
DTV,Directv,NASDAQ
DTVI,Dot VN Inc,OTC
DUC,Duff & Phelps Utility & Corporate Bond Trust Inc,NYSE
DUCK,Alco Stores Inc,
DUCP,Arx Gold Corp,OTC
DUF,Duff & Phelps Corp,NYSE
DUK,Duke Energy Carolinas LLC,NYSE
DUK,Duke Energy Corp,NYSE
DUMA,Duma Energy Corp,OTCBB
DUNM,Dunn Mining Inc,
DUSA,Dusa Pharmaceuticals Inc,
DUVT,Duravest Inc,OTC
DV,Devry Education Group Inc,NYSE
DVA,Davita Healthcare Partners Inc,NYSE
DVAX,Dynavax Technologies Corp,NASDAQ
DVCOD,Spire Technologies Inc,OTC
DVD,Dover Motorsports Inc,NYSE
DVERQ,Dan River Inc,
DVF,Diversified Income Strategies Portfolio Inc,NYSE
DVFN,Vanura Uranium Inc,
DVFN,China Fruits Corp,
DVGL,Parabel Inc,
DVI,DVI Inc,
DVID,Digital Video Systems Inc,
DVLN,DVL Inc,OTC
DVLN,DVL Inc,OTC
DVLY,Deer Valley Corp,OTC
DVM,Cohen & Steers Dividend Majors Fund Inc,NYSE
DVN,Devon Energy Corp,NYSE
DVN,Devon Energy Corp,NYSE
DVNNF,Devine Entertainment Corp,
DVNTF,Diversinet Corp,OTC
DVOX,Dynavox Inc,OTC
DVR,Cal Dive International Inc,NYSE
DVTS,Diversified Thermal Solutions Inc,OTC
DVW,Covad Communications Group Inc,NYSE MKT
DW,Drew Industries Inc,NYSE
DWA,Dreamworks Animation SKG Inc,NASDAQ
DWCH,Datawatch Corp,NASDAQ
DWMA,Global Arena Holding Inc,
DWOG,Deep Well Oil & Gas Inc,OTC
DWRE,Demandware Inc,NYSE
DWRI,Design Within Reach Inc,OTC
DWSN,Dawson Geophysical Co,NASDAQ
DWVSF,Datawave Systems Inc,
DWYR,Dwyer Group Inc,
DX,Dynex Capital Inc,NYSE
DXCM,Dexcom Inc,NASDAQ
DXM,Dex Media Inc,NASDAQ
DXN,Digitalfx International Inc,NYSE MKT
DXPE,DXP Enterprises Inc,NASDAQ
DXR,Daxor Corp,NYSE MKT
DXT,Dixon Ticonderoga Co,
DXYN,Dixie Group Inc,NASDAQ
DY,Dycom Industries Inc,NYSE
DYAP,Dynamic Applications Corp,OTC
DYAX,Dyax Corp,NASDAQ
DYER,Fifth Season International Inc,OTC
DYGO,Dynamic Gold Corp,OTC
DYHCS,Dynacore Patent Litigation Trust,
DYHP,Dynamic Health Products Inc,
DYII,Dynacq Healthcare Inc,OTC
DYLI,Dynamic Leisure Corp,OTC
DYN,Dynegy Illinois Inc,NYSE
DYN,Dynegy Inc,NYSE
DYNH,Il2m International Corp,OTC
DYNR,Dynaresource Inc,OTCBB
DYNT,Dynatronics Corp,NASDAQ
DYNV,Dynamic Ventures Corp,OTC
DYP,Duoyuan Printing Inc,NYSE
DYSL,Dynasil Corp Of America,NASDAQ
DYTM,Dynatem Inc,OTC
DYX,Diasys Corp,
DZTK,Daisytek International Corp,
EA,Electronic Arts Inc,NASDAQ
EAC,Encore Acquisition Co,NASDAQ
EAC,Erickson Air-crane Inc,NASDAQ
EACC,Eautoclaims Inc,OTC
EACO,Eaco Corp,OTC
EAD,Wells Fargo Advantage Income Opportunities Fund,NYSE MKT
EAFRX,Eaton Vance Advisers Senior Floating Rate Fund,
EAG,Eagle Broadband Inc,
EAG,American Defense Systems Inc,NYSE MKT
EAGL,Egl Inc,NASDAQ
EAGL,Silver Eagle Acquisition Corp,NASDAQ
EAR,Husa Liquidating Corp,
EARH,Earth Dragon Resources Inc,OTC
EARN,Ellington Residential Mortgage REIT,NYSE
EAS,Energy East Corp,
EASB,Easton Bancorp Inc,OTC
EASI,Engineered Support Systems Inc,
EAST,East Fork Biodiesel LLC,OTC
EASY,Easylink Services Corp,
EAT,Brinker International Inc,NYSE
EATS,Eateries Inc,
EAUI,Eau Technologies Inc,OTC
EAVR,Mobile Data Corp,
EBAY,Ebay Inc,NASDAQ
EBDC,Ebank Financial Services Inc,OTC
EBDM,Annec Green Refractories Corp,
EBF,Ennis Inc,NYSE
EBHI,Eddie Bauer Holdings Inc,NASDAQ
EBI,Evergreen International Balanced Income Fund,NYSE
EBIO,Epoch Biosciences Inc,
EBIX,Ebix Inc,NASDAQ
EBLC,Earthblock Technologies Inc,
EBLO,Exchange Bancshares Inc,
EBMT,Eagle Bancorp,NASDAQ
EBMT,Eagle Bancorp Montana Inc,NASDAQ
EBOIE,Enhance Biotech Inc,
EBS,Emergent Biosolutions Inc,NYSE
EBSB,Meridian Interstate Bancorp Inc,NASDAQ
EBSC,Elder Beerman Stores Corp,
EBTC,Enterprise Bancorp Inc,NASDAQ
EBTX,Encore Bancshares Inc,NASDAQ
EC,Engelhard Corp,NYSE
ECAU,Echo Automotive Inc,OTC
ECBE,Ecb Bancorp Inc,NYSE
ECC,Ecc International Corp,
ECDV,East Coast Diversified Corp,
ECEC,Ecom Ecom Com Inc,
ECEN,Invenda Corp,
ECF,Ellsworth Fund LTD,NYSE MKT
ECFRX,Ev Classic Senior Floating Rate Fund,
ECGN,Ecogen Inc,
ECHO,Electronic Clearing House Inc,NASDAQ
ECHO,Echo Global Logistics Inc,NASDAQ
ECIA,Encision Inc,OTC
ECIG,Victory Electronic Cigarettes Corp,OTC
ECL,Ecolab Inc,NYSE
ECLG,Ecollege Com,
ECLP,Eclipsys Corp,
ECMH,Encompass Holdings Inc,OTC
ECNI,Eye Cash Networks Inc,OTC
ECOB,Eco Building Products Inc,OTC
ECOC,Ecology Coatings Inc,
ECOI,Ecosolutions Intl,
ECOL,US Ecology Inc,NASDAQ
ECOM,Channeladvisor Corp,NYSE
ECOO,Easy Organic Cookery Inc,OTCBB
ECP,Canterbury Park Holding Corp,NASDAQ
ECPG,Encore Capital Group Inc,NASDAQ
ECPN,El Capitan Precious Metals Inc,OTCBB
ECR,Ecc Capital Corp,NYSE
ECRY,Ecrypt Technologies Inc,OTCBB
ECSI,Endocardial Solutions Inc,
ECSI,Ecash Inc,
ECST,Ecost Com Inc,
ECT,Eca Marcellus Trust I,NYSE
ECTE,Echo Therapeutics Inc,NASDAQ
ECTX,Ectel LTD,
ECUI,Y3k Secure Enterprise Software Inc,OTC
ECV,Enhanced Equity Yield & Premium Fund Inc,NYSE
ECWC,BBMF Corp,
ECYT,Endocyte Inc,NASDAQ
ED,Consolidated Edison Inc,NYSE
EDAC,Edac Technologies Corp,NASDAQ
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc,NYSE
EDDH,Edd Helms Group Inc,
EDE,Empire District Electric Co,NYSE
EDEL,Edelbrock Corp,
EDEN,Eden Bioscience Corp,BATS
EDF,Stone Harbor Emerging Markets Income Fund,NYSE
EDFFF,Emission Differentials LTD,
EDFY,Edentify Inc,
EDG,Edgen Group Inc,NYSE
EDGH,Inova Technology Inc,
EDGR,Edgar Online Inc,
EDGW,Edgewater Technology Inc,NASDAQ
EDI,Stone Harbor Emerging Markets Total Income Fund,NYSE
EDIG,E Digital Corp,OTC
EDLG,Education Lending Group Inc,
EDLT,East Delta Resources Corp,
EDMC,Education Management Corporation,NASDAQ
EDNE,Eden Energy Corp,OTC
EDO,Edo Corp,
EDR,Education Realty Trust Inc,NYSE
EDS,Electronic Data Systems Corp,NASDAQ
EDSN,Edison Schools Inc,
EDUC,Educational Development Corp,NASDAQ
EDVC,Endevco Inc,
EDVP,Parallax Health Sciences Inc,OTCBB
EDWT,Edgewater Foods International Inc,
EE,El Paso Electric Co,NYSE
EEA,European Equity Fund Inc,NYSE
EECP,Environmental Elements Corp,
EEDG,Energy Edge Technologies Corp,OTC
EEE,Evergreen Energy Inc,NYSE ARCA
EEEE,Infe Human Resources Inc,
EEEE,Educate Inc,
EEEI,Electro Energy Inc,
EEF,Enhanced Equity Yield Fund Inc,NYSE
EEFT,Euronet Worldwide Inc,NASDAQ
EEGC,Empire Energy Corp,OTC
EEGL,Eagle Supply Group Inc,
EEGR,Eline Entertainment Group Inc,
EEI,Ecology & Environment Inc,NASDAQ
EELN,E Loan Inc,
EENR,Green Gold Inc,OTC
EENT,Energy & Engine Technology Corp,
EEP,Enbridge Energy Partners LP,NYSE
EEPU,Eco Energy Pumps Inc,OTC
EEQ,Enbridge Energy Management L L C,NYSE
EESC,Eastern Environment Solutions Corp,OTC
EESH,Eestech Inc,OTC
EESV,Environmental Energy Services Inc,OTC
EF,Europe Fund Inc,
EFC,Efc Bancorp Inc,NYSE
EFC,Ellington Financial LLC,NYSE
EFD,Efunds Corp,NYSE
EFF,Eaton Vance Floating-rate Income Plus Fund,NYSE
EFH,Empire Financial Holding Co,NYSE MKT
EFII,Electronics For Imaging Inc,NASDAQ
EFJI,Ef Johnson Technologies Inc,
EFL,Western Asset Emerging Markets Floating Rate Fund Inc,
EFLO,Eflo Energy Inc,OTC
EFLT,Elite Flight Solutions Inc,
EFOI,Energy Focus Inc,OTC
EFR,Eaton Vance Senior Floating Rate Trust,NYSE
EFRC,Egpi Firecreek Inc,
EFSC,Enterprise Financial Services Corp,NASDAQ
EFSI,Eagle Financial Services Inc,OTC
EFT,Eaton Vance Floating-rate Income Trust,NYSE
EFTB,Eft Holdings Inc,OTC
EFTIE,Earthfirst Technologies Inc,
EFX,Equifax Inc,NYSE
EGAM,Egames Inc,
EGAN,Egain Corp,NASDAQ
EGBN,Eagle Bancorp Inc,NASDAQ
EGCT,Ecologic Transportation Inc,OTCBB
EGDW,Edgewater Bancorp Inc,OTCBB
EGEI,Egene Inc,
EGF,Blackrock Enhanced Government Fund Inc,NYSE
EGHA,8888 Acquisition Corp,
EGHT,8X8 Inc,NASDAQ
EGL,Engility Holdings Inc,NYSE
EGLE,Eagle Bulk Shipping Inc,NASDAQ
EGLF,American Rare Earths & Materials Corp,
EGLS,Electroglas Inc,
EGLT,Eagle Test Systems Inc,
EGMCF,Emgold Mining Corp,OTC
EGMI,Electronic Game Card Inc,
EGMM,Edgemont Mining Inc,OTC
EGN,Energen Corp,NYSE
EGOV,Nic Inc,NASDAQ
EGP,Eastgroup Properties Inc,NYSE
EGR,Commerce Energy Group Inc,NYSE MKT
EGRN,Evergreen-agra Inc,OTC
EGRV,Engraving Masters Inc,OTCBB
EGSR,Energas Resources Inc,
EGTK,Energtek,OTC
EGX,Engex Inc,
EGY,Vaalco Energy Inc,NYSE
EGYH,Energy Holdings International Inc,OTC
EHHA,Echo Healthcare Acquisition Corp,NASDAQ
EHI,Western Asset Global High Income Fund Inc,NYSE
EHMI,Protext Mobility Inc,
EHP,Eagle Hospitality Properties Trust Inc,NYSE
EHTH,Ehealth Inc,NASDAQ
EIA,Eaton Vance California Municipal Bond Fund II,NYSE MKT
EICU,Visicu Inc,
EIF,Eaton Vance Insured Florida Plus Municipal Bond Fund,NYSE MKT
EIFRX,Eaton Vance Institutional Senior Floating Rate Fund,
EIG,Employers Holdings Inc,NYSE
EIGI,Endurance International Group Holdings Inc,NASDAQ
EIHI,Eastern Insurance Holdings Inc,NASDAQ
EII,Energy Infrastructure Acquisition Corp,NYSE MKT
EIM,Eaton Vance Municipal Bond Fund,NYSE MKT
EIO,Eaton Vance Ohio Municipal Bond Fund,NYSE MKT
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,NYSE MKT
EIPC,Enable Ipc Corp,OTC
EITC,Essential Innovations Technology Corp,
EIUS,Entertainment Is US Inc,
EIV,Eaton Vance Municipal Bond Fund II,NYSE MKT
EIX,Edison International,NYSE
EJXR,Enerjex Resources Inc,
EKCS,Electronic Control Security Inc,OTC
EKDKQ,Eastern Utilities Investing Corp,OTC
EKFC,Eureka Financial Corp,OTC
EL,Estee Lauder Companies Inc,NYSE
ELAB,Eon Labs Inc,
ELAY,Elayaway Inc,OTC
ELBO,Electronics Boutique Holdings Corp,
ELCO,Elcom International Inc,OTC
ELDO,Eldorado Artesian Springs Inc,OTC
ELEC,Pervasip Corp,
ELGO,Enterologics Inc,OTC
ELGT,Electric & Gas Technology Inc,OTC
ELGX,Endologix Inc,NASDAQ
ELK,Elkcorp,
ELLG,Politics Com Inc,OTC
ELLI,Ellie Mae Inc,NYSE
ELMD,Electromed Inc,NYSE MKT
ELMG,Electromagnetic Sciences Inc,
ELMS,Elmers Restaurants Inc,
ELNK,Earthlink Holdings Corp,NASDAQ
ELON,Echelon Corp,NASDAQ
ELOQ,Eloqua Inc,NASDAQ
ELQV,Hydrogen Future Corp,
ELRC,Electro Rent Corp,NASDAQ
ELRE,Yinfu Gold Corp,OTC
ELS,Equity Lifestyle Properties Inc,NYSE
ELSE,Electro Sensors Inc,NASDAQ
ELSO,Elsinore Corp,OTC
ELST,Owen Loving & Associates Inc,OTC
ELST,Electronic Systems Technology Inc,OTC
ELTP,Elite Pharmaceuticals Inc,OTCBB
ELU,Elinear Inc,NYSE
ELVN,Elevon Inc,OTC
ELX,Emulex Corp,NYSE
ELXS,Elxsi Corp,OTC
ELY,Callaway Golf Co,NYSE
EM,Emdeon Inc,NYSE
EMAG,Emageon Inc,NYSE ARCA
EMAK,Emak Worldwide Inc,
EMAN,Emagin Corp,NYSE MKT
EMBR,Embryo Development Corp,OTC
EMBR,Embarr Downs Inc,OTC
EMBT,Embarcadero Technologies Inc,
EMBX,Embrex Inc,
EMC,Emc Corp,NYSE
EMC,Emc Metals Corp,NYSE
EMCF,Emclaire Financial Corp,NASDAQ
EMCI,Emc Insurance Group Inc,NASDAQ
EMD,Western Asset Emerging Markets Income Fund Inc,NYSE
EMD,Western Asset Emerging Markets Income Fund Inc,NYSE
EMDF,XL Rent Inc,OTC
EMDH,Lifestyle Medical Network Inc,
EME,Emcor Group Inc,NYSE
EME,Edison Mission Energy,NYSE
EMED,Medcom USA Inc,OTC
EMES,Emerge Energy Services LP,NYSE
EMF,Templeton Emerging Markets Fund,NYSE
EMGP,Emergent Group Inc,NYSE ARCA
EMHD,Green Planet Group Inc,NYSE ARCA
EMI,Eaton Vance Michigan Municipal Income Trust,NYSE MKT
EMIS,Emisphere Technologies Inc,OTCBB
EMJ,Eaton Vance New Jersey Municipal Bond Fund,NYSE MKT
EMKR,Emcore Corp,NASDAQ
EML,Eastern Co,NASDAQ
EMLL,El Maniel International Inc,OTC
EMMS,Emmis Communications Corp,NASDAQ
EMN,Eastman Chemical Co,NYSE
EMO,Clearbridge Energy MLP Opportunity Fund Inc,NYSE
EMOT,Electric Moto Corp,OTC
EMPL,Dominion Minerals Corp,
EMPR,Empire Petroleum Corp,OTC
EMPY,American Asset Development Inc,
EMR,Emerson Electric Co,NYSE
EMRG,Emerge Interactive Inc,
EMS,Envision Healthcare Corp,NYSE
EMT,Emerging Markets Telecommunications Fund Inc,NYSE ARCA
EMXC,Emax Holdings Corp,OTC
EMYB,Embassy Bancorp Inc,OTC
ENA,Enova Systems Inc,NYSE MKT
ENBP,Enb Financial Corp,OTC
ENC,Enesco Group Inc,
ENCO,Encorium Group Inc,OTC
ENCP,Enercorp Inc,
ENCY,Encysive Pharmaceuticals Inc,
END,Endeavour International Corp,NYSE
ENDO,Endocare Inc,OTC
ENDP,Endo Health Solutions Inc,NASDAQ
ENEC,Holloman Energy Corp,
ENEI,Ener1 Inc,NASDAQ
ENER,Energy Conversion Devices Inc,
ENF,Ensource Energy Income Fund LP,NYSE
ENFN,Rodman & Renshaw Capital Group Inc,NASDAQ
ENG,Englobal Corp,NASDAQ
ENGT,Energy & Technology Corp,OTC
ENGX,Energenx Inc,
ENGY,Central Energy Partners LP,OTC
ENH,Endurance Specialty Holdings LTD,NYSE
ENHT,Enherent Corp,OTC
ENIP,Endeavor Ip Inc,OTCBB
ENLG,Enlightened Gourmet Inc,OTC
ENMC,Encore Medical Corp,
ENMD,Entremed Inc,NASDAQ
ENN,Equity Inns Inc,NYSE
ENOC,Enernoc Inc,NASDAQ
ENP,Encore Energy Partners LP,NYSE
ENPH,Enphase Energy Inc,NASDAQ
ENPT,En Pointe Technologies Inc,OTC
ENR,Energizer Holdings Inc,NYSE
ENRG,Energroup Holdings Corp,OTC
ENRT,Enertopia Corp,OTC
ENS,Enersys,NYSE
ENSG,Ensign Group Inc,NASDAQ
ENSI,Energysouth Inc,
ENSL,Entech Solar Inc,OTC
ENT,Global Eagle Entertainment Inc,NASDAQ
ENTA,Enanta Pharmaceuticals Inc,NASDAQ
ENTG,Entegris Inc,NASDAQ
ENTI,Encounter Development Technologies Inc,OTC
ENTR,Entropic Communications Inc,NASDAQ
ENTU,Entrust Inc,
ENTX,Entrx Corp,
ENUI,Ec Development Inc,
ENV,Envestnet Inc,NYSE
ENVI,Envivio Inc,NASDAQ
ENVK,Wheatley Mayonnaise Co,
ENVK,Envirokare Tech Inc,
ENWV,Endwave Corp,
ENX,Eaton Vance New York Municipal Bond Fund,NYSE MKT
ENXT,NXT Energy Solutions Inc,
ENZ,Enzo Biochem Inc,NYSE
ENZN,Enzon Pharmaceuticals Inc,NASDAQ
ENZR,Energizer Resources Inc,OTC
EOD,Wells Fargo Advantage Global Dividend Opportunity Fund,NYSE
EOE,Eaton Vance Credit Opportunities Fund,NYSE
EOG,Eog Resources Inc,NYSE
EOI,Eaton Vance Enhanced Equity Income Fund,NYSE
EOMI,Econometrics Inc,
EONC,Eon Communications Corp,NASDAQ
EOP,Equity Office Properties Trust,NYSE
EOPLP,Eop Operating LTD Partnership,NYSE
EOPN,E2open Inc,NASDAQ
EOS,Eaton Vance Enhanced Equity Income Fund II,NYSE
EOSI,Eos International Inc,OTC
EOT,Eaton Vance National Municipal Opportunities Trust,NYSE
EOX,Emerald Oil Inc,NYSE MKT
EP,El Paso Corp,NYSE
EPAM,Epam Systems Inc,NYSE
EPAQ,Integrated Drilling Equipment Holdings Corp,
EPAX,Ambassadors Group Inc,NASDAQ
EPAY,Bottomline Technologies Inc,NASDAQ
EPB,El Paso Pipeline Partners LP,NYSE
EPCC,Epic Energy Resources Inc,
EPCG,Epicus Communications Group Inc,
EPCTD,Immune Pharmaceuticals Inc,
EPD,Enterprise Products Partners LP,NYSE
EPE,Enterprise GP Holdings LP,NYSE
EPE,Ep Energy Corp,NYSE
EPEN,East Penn Financial Corp,
EPEX,Edge Petroleum Corp,NASDAQ
EPFL,Epic Financial Corp,
EPG,Environmental Power Corp,NASDAQ
EPGG,Empire Global Gaming Inc,OTCBB
EPGL,Ep Global Communications Inc,OTC
EPHC,Epoch Holding Corp,
EPHCX,Investment Managers Series Trust,
EPHO,Ephone Telecom Inc,
EPIC,Epicor Software Corp,
EPIK,Tamalpais Bancorp,
EPIQ,Epiq Systems Inc,NASDAQ
EPIX,Epix Pharmaceuticals Inc,
EPL,Epl Oil & Gas Inc,NYSE
EPLN,Epolin Inc,
EPM,Evolution Petroleum Corp,NYSE MKT
EPMD,Ep Medsystems Inc,
EPN,Gulfterra Energy Partners LP,
EPNY,E Piphany Inc,
EPNY,Epiphany Inc,
EPOC,Epocrates Inc,NASDAQ
EPOI,Epod International Inc,
EPR,Epr Properties,NYSE
EPRC,Empiric Energy Inc,
EPRE,Epresence Inc,
EPRT,Espre Solutions Inc,
EPTG,Epl Technologies Inc,
EPXR,Epixtar Corp,
EPZM,Epizyme Inc,NASDAQ
EQ,Embarq Corp,NYSE
EQIX,Equinix Inc,NASDAQ
EQM,Eqt Midstream Partners LP,NYSE
EQPI,Equicap Inc,OTC
EQR,Equity Residential,NYSE
EQS,Equus Total Return Inc,NYSE
EQT,Eqt Corp,NYSE
EQTE,Eqm Technologies & Energy Inc,OTC
EQTY,Equity Oil Co,
EQU,Equal Energy LTD,NYSE
EQUI,Equifin Inc,OTC
EQY,Equity One Inc,NYSE
ERA,Era Group Inc,NYSE
ERB,Erba Diagnostics Inc,NYSE MKT
ERC,Wells Fargo Advantage Multi-sector Income Fund,NYSE MKT
ERES,Eresearchtechnology Inc,
ERGO,Ergo Science Corp,OTC
ERH,Wells Fargo Advantage Utilities & High Income Fund,NYSE MKT
ERHE,Erhc Energy Inc,OTC
ERI,Emrise Corp,NYSE ARCA
ERIE,Erie Indemnity Co,NASDAQ
ERII,Energy Recovery Inc,NASDAQ
ERMS,Eroomsystem Technologies Inc,OTC
EROC,Eagle Rock Energy Partners LP,NASDAQ
EROX,Human Pheromone Sciences Inc,OTC
ERS,Empire Resources Inc,NASDAQ
ERSD,Luve Sports Inc,
ERTH,Earthshell Corp,
ERWF,Erf Wireless Inc,
ERWN,Nextphase Wireless Inc,
ES,Energysolutions Inc,NYSE
ESA,Extended Stay America Inc,
ESA,Energy Services Of America Corp,NYSE MKT
ESAN,Entrada Networks Inc,
ESB,Es Bancshares Inc,
ESBF,Esb Financial Corp,NASDAQ
ESC,Emeritus Corp,NYSE
ESCA,Escalade Inc,NASDAQ
ESCC,Evans & Sutherland Computer Corp,OTC
ESCH,Eschelon Telecom Inc,
ESCI,Earth Sciences Inc,
ESCL,Spectrum Group International Inc,
ESCO,Esco Inc,
ESD,Western Asset Emerging Markets Debt Fund Inc,NYSE
ESE,Esco Technologies Inc,NYSE
ESEC,Ese Corp,
ESGI,Ensurge Inc,OTC
ESGR,Enstar Group Inc,NASDAQ
ESGR,Enstar Group LTD,NASDAQ
ESH,Scheib Earl Inc,
ESHG,Emergisoft Holding Inc,OTC
ESHI,USA Uranium Corp,
ESI,Itt Educational Services Inc,NYSE
ESIO,Electro Scientific Industries Inc,NASDAQ
ESL,Esterline Technologies Corp,NYSE
ESLR,Evergreen Solar Inc,
ESMC,Escalon Medical Corp,NASDAQ
ESMK,Clayton Acquisition Corp,NASDAQ
ESMT,E-smart Technologies Inc,
ESNR,Electronic Sensor Technology Inc,OTC
ESNT,Essent Group LTD,NYSE
ESP,Espey MFG & Electronics Corp,NYSE MKT
ESPR,Esperion Therapeutics Inc,NASDAQ
ESPR,Esperion Therapeutics Inc,NASDAQ
ESRI,Eastern Resources Inc,OTCBB
ESRT,Empire State Realty Trust Inc,NYSE
ESRX,Express Scripts Inc,NASDAQ
ESRX,Express Scripts Holding Co,NASDAQ
ESS,Essex Property Trust Inc,NYSE
ESSA,Essa Bancorp Inc,NASDAQ
ESSE,Earth Search Sciences Inc,OTC
ESST,Ess Technology Inc,
ESSX,Essex Rental Corp,NASDAQ
EST,Enterprise Acquisition Corp,NYSE MKT
ESV,Ensco PLC,NYSE
ESVC,Ensign Services Inc,
ESWB,Ziopharm Oncology Inc,OTC
ESWW,Environmental Solutions Worldwide Inc,OTC
ESXB,Community Bankers Trust Corp,NASDAQ
ESYS,Elecsys Corp,NASDAQ
ET,Exacttarget Inc,NYSE
ETAD,Entrade Inc,
ETAH,Eternity Healthcare Inc,OTC
ETAK,Elephant Talk Communications Corp,NYSE MKT
ETB,Eaton Vance Tax-managed Buy-write Income Fund,NYSE
ETCC,Environmental Tectonics Corp,OTC
ETCIA,Electronic Tele Communications Inc,OTC
ETCK,Enerteck Corp,OTC
ETCR,Vhgi Holdings Inc,
ETE,Energy Transfer Equity LP,NYSE
ETEC,Emtec Inc,OTC
ETEN,Protectus Medical Devices Inc,
ETF,Aberdeen Emerging Markets Smaller Co Opportunities Fund Inc,NYSE MKT
ETFC,E Trade Financial Corp,NASDAQ
ETFS,East Texas Financial Services Inc,
ETG,Eaton Vance Tax Advantaged Global Dividend Income Fund,NYSE
ETG,Entree Gold Inc,NYSE
ETGMF,Entourage Mining LTD,
ETH,Ethan Allen Interiors Inc,NYSE
ETJ,Eaton Vance Risk-managed Diversified Equity Income Fund,NYSE
ETLB,Hydrogen Hybrid Technologies Inc,
ETLE,Ecotality Inc,NASDAQ
ETLS,Etotalsource Inc,
ETM,Entercom Communications Corp,NYSE
ETN,Eaton Corp,NYSE
ETN,Eaton Corp PLC,NYSE
ETNL,Eternal Image Inc,
ETNW,Ses Solar Inc,
ETO,Eaton Vance Tax-advantaged Global Dividend Opportunities Fund,NYSE
ETOP,Entropin Inc,
ETP,Energy Transfer Partners LP,NYSE
ETR,Entergy Corp,NYSE
ETRM,Enteromedics Inc,NASDAQ
ETS,Enterasys Networks Inc,NYSE
ETS,Ets Payphones Inc,
ETSM,Electronic Transmission Corp,OTC
ETT,Eldertrust,
ETUA,Eunits TM 2 Year US Market Participation Trust Upside To Cap,NYSE MKT
ETUB,Eunitstm 2 Year US Market Participation Trust 2 Upside To Cap,NYSE MKT
ETV,Eaton Vance Tax-managed Buy-write Opportunities Fund,NYSE
ETW,Eaton Vance Tax-managed Global Buy-write Opportunities Fund,NYSE
ETX,Eaton Vance Municipal Income Term Trust,NYSE
ETY,Eaton Vance Tax-managed Diversified Equity Income Fund,NYSE
EUBK,Eurobancshares Inc,OTC
EUGS,Eurogas Inc,
EUOK,Euoko Group Inc,
EUOT,Eurotech LTD,OTC
EUPA,Eupa International Corp,
EURC,Eurocan Holdings LTD,OTCBB
EV,Eaton Vance Corp,NYSE
EVBN,Evans Bancorp Inc,NYSE MKT
EVBS,Eastern Virginia Bankshares Inc,NASDAQ
EVC,Entravision Communications Corp,NYSE
EVCA,Evcarco Inc,OTC
EVCC,Environmental Control Corp,OTC
EVCI,Evci Career Colleges Holding Corp,OTC
EVEH,Environment Ecology Holding Co Of China,
EVEP,Ev Energy Partners LP,NASDAQ
EVER,Everbank Financial Corp,NYSE
EVF,Eaton Vance Senior Income Trust,NYSE
EVG,Evergreen Resources Inc,NYSE
EVG,Eaton Vance Short Duration Diversified Income Fund,NYSE
EVGG,Evergreenbancorp Inc,
EVHC,Envision Healthcare Holdings Inc,NYSE
EVIS,Evision International Inc,
EVJ,Eaton Vance New Jersey Municipal Income Trust,NYSE MKT
EVLO,CD International Enterprises Inc,NASDAQ
EVM,Eaton Vance California Municipal Bond Fund,NYSE MKT
EVMT,Xstream Mobile Solutions Corp,
EVN,Eaton Vance Municipal Income Trust,NYSE
EVO,Eaton Vance Ohio Municipal Income Trust,NYSE MKT
EVOK,Evoke Pharma Inc,NASDAQ
EVOL,Evolving Systems Inc,NASDAQ
EVP,Eaton Vance Pennsylvania Municipal Income Trust,NYSE MKT
EVPRX,Eaton Vance Prime Rate Reserves,
EVR,Evercore Partners Inc,NYSE
EVRC,Evercel Inc,OTC
EVRE,Enviro Recovery Inc,
EVRL,Everlert Inc,
EVRS,Everest Resources Corp,
EVRT,Evertrust Financial Group Inc,
EVRY,Everyware Global Inc,NASDAQ
EVSC,Endovasc Inc,
EVSF,China Education Technology Inc,
